,x
1,Sample
2,Locus
3,Type
4,Filter
5,No.Call.Reason
6,Genes..Exons.
7,Read.Counts
8,Oncomine.Variant.Class
9,Oncomine.Gene.Class
10,Detection
11,X3..5..Imbalance
12,Ratio.To.Wild.Type
13,Norm.Count.Within.Gene
14,COSMIC.NCBI
15,Variant.ID
16,Read.Counts.Per.Million
17,Subtype
18,Genotype
19,Ref
20,Observed.Allele
21,Copy.Number
22,CNV.Confidence
23,CNV.P.Value
24,Genes
25,Location
26,Length
27,Info
28,Variant.Name
29,X..Frequency
30,Amino.Acid.Change
31,Coverage
32,Allele.Ratio
33,Strand
34,Exon
35,Transcript
36,Coding
37,Variant.Effect
38,PhyloP
39,SIFT
40,Grantham
41,PolyPhen
42,PFAM
43,dbSNP
44,DGV
45,MAF
46,EMAF
47,AMAF
48,GMAF
49,UCSC.Common.SNPs
50,ExAC.LAF
51,ExAC.EAAF
52,ExAC.OAF
53,ExAC.EFAF
54,ExAC.SAAF
55,ExAC.ENFAF
56,ExAC.AAF
57,ExAC.GAF
58,Gene.Ontology
59,DrugBank
60,ClinVar
61,p.value
62,Phred.QUAL.Score
63,Allele.Coverage
64,Ref..Ref..Var..Var.
65,Homopolymer.Length
66,Subset.of
