Gene	Transcript
ABL1	NM_005157.5
ASXL1	NM_015338.5
BCOR	NM_001123385.1
BRAF	NM_004333.5
CALR	NM_004343.3
CBL	NM_005188.3
CEBPA	NM_004364.4
CSF3R	NM_156039.3
DNMT3A	NM_022552.4
ETV6	NM_001987.4
EZH2	NM_004456.4
FLT3	NM_004119.2
GATA2	NM_032638.4
HRAS	NM_001130442.2
IDH1	NM_005896.3
IDH2	NM_002168.3
IKZF1	NM_006060.6
JAK2	NM_004972.3
KIT	NM_000222.2
KRAS	NM_033360.3
MPL	NM_005373.2
MYD88	NM_001172567.1
NF1	NM_001042492.2
NPM1	NM_002520.6
NRAS	NM_002524.4
PHF6	NM_032458.2
PRPF8	NM_006445.3
PTPN11	NM_002834.4
RB1	NM_000321.2
RUNX1	NM_001754.4
SETBP1	NM_015559.3
SF3B1	NM_012433.3
SH2B3	NM_005475.2
SRSF2	NM_003016.4
STAG2	NM_001042749.2
TET2	NM_001127208.2
TP53	NM_000546.5
U2AF1	NM_006758.2
WT1	NM_024426.5
ZRSR2	NM_005089.3
